group,country,year,value,type,perc,unit
G7 and partners,Australia,1995-01-01,368.2,Gross Domestic Product,1.2,"current $, billion"
G7 and partners,Australia,1996-01-01,401.3,Gross Domestic Product,1.3,"current $, billion"
G7 and partners,Australia,1997-01-01,435.6,Gross Domestic Product,1.4,"current $, billion"
G7 and partners,Australia,1998-01-01,399.7,Gross Domestic Product,1.3,"current $, billion"
G7 and partners,Australia,1999-01-01,389.7,Gross Domestic Product,1.2,"current $, billion"
G7 and partners,Australia,2000-01-01,416.2,Gross Domestic Product,1.2,"current $, billion"
G7 and partners,Australia,2001-01-01,379.6,Gross Domestic Product,1.1,"current $, billion"
G7 and partners,Australia,2002-01-01,395.8,Gross Domestic Product,1.1,"current $, billion"
G7 and partners,Australia,2003-01-01,467.7,Gross Domestic Product,1.2,"current $, billion"
G7 and partners,Australia,2004-01-01,614.7,Gross Domestic Product,1.4,"current $, billion"
G7 and partners,Australia,2005-01-01,695.7,Gross Domestic Product,1.5,"current $, billion"
G7 and partners,Australia,2006-01-01,748.4,Gross Domestic Product,1.4,"current $, billion"
G7 and partners,Australia,2007-01-01,855,Gross Domestic Product,1.5,"current $, billion"
G7 and partners,Australia,2008-01-01,1056.1,Gross Domestic Product,1.6,"current $, billion"
G7 and partners,Australia,2009-01-01,928.8,Gross Domestic Product,1.5,"current $, billion"
G7 and partners,Australia,2010-01-01,1148.9,Gross Domestic Product,1.7,"current $, billion"
G7 and partners,Australia,2011-01-01,1398.7,Gross Domestic Product,1.9,"current $, billion"
G7 and partners,Australia,2012-01-01,1547.6,Gross Domestic Product,2,"current $, billion"
G7 and partners,Australia,2013-01-01,1577.3,Gross Domestic Product,2,"current $, billion"
G7 and partners,Australia,2014-01-01,1468.6,Gross Domestic Product,1.8,"current $, billion"
G7 and partners,Australia,2015-01-01,1351.8,Gross Domestic Product,1.8,"current $, billion"
G7 and partners,Australia,2016-01-01,1207.6,Gross Domestic Product,1.6,"current $, billion"
G7 and partners,Australia,2017-01-01,1326.9,Gross Domestic Product,1.6,"current $, billion"
G7 and partners,Australia,2018-01-01,1429.7,Gross Domestic Product,1.6,"current $, billion"
G7 and partners,Australia,2019-01-01,1394.7,Gross Domestic Product,1.6,"current $, billion"
G7 and partners,Australia,2020-01-01,1330.4,Gross Domestic Product,1.6,"current $, billion"
G7 and partners,Australia,2021-01-01,1559,Gross Domestic Product,1.6,"current $, billion"
G7 and partners,Australia,2022-01-01,1693,Gross Domestic Product,1.7,"current $, billion"
G7 and partners,Australia,2023-01-01,1723.8,Gross Domestic Product,1.6,"current $, billion"
G7 and partners,Canada,1990-01-01,596.1,Gross Domestic Product,2.6,"current $, billion"
G7 and partners,Canada,1991-01-01,612.5,Gross Domestic Product,2.6,"current $, billion"
G7 and partners,Canada,1992-01-01,594.4,Gross Domestic Product,2.3,"current $, billion"
G7 and partners,Canada,1993-01-01,579.1,Gross Domestic Product,2.2,"current $, billion"
G7 and partners,Canada,1994-01-01,579.9,Gross Domestic Product,2.1,"current $, billion"
G7 and partners,Canada,1995-01-01,606,Gross Domestic Product,1.9,"current $, billion"
G7 and partners,Canada,1996-01-01,630.6,Gross Domestic Product,2,"current $, billion"
G7 and partners,Canada,1997-01-01,655,Gross Domestic Product,2.1,"current $, billion"
G7 and partners,Canada,1998-01-01,634,Gross Domestic Product,2,"current $, billion"
G7 and partners,Canada,1999-01-01,678.4,Gross Domestic Product,2.1,"current $, billion"
G7 and partners,Canada,2000-01-01,744.8,Gross Domestic Product,2.2,"current $, billion"
G7 and partners,Canada,2001-01-01,739,Gross Domestic Product,2.2,"current $, billion"
G7 and partners,Canada,2002-01-01,760.6,Gross Domestic Product,2.2,"current $, billion"
G7 and partners,Canada,2003-01-01,895.5,Gross Domestic Product,2.3,"current $, billion"
G7 and partners,Canada,2004-01-01,1026.7,Gross Domestic Product,2.3,"current $, billion"
G7 and partners,Canada,2005-01-01,1173.1,Gross Domestic Product,2.5,"current $, billion"
G7 and partners,Canada,2006-01-01,1319.3,Gross Domestic Product,2.5,"current $, billion"
G7 and partners,Canada,2007-01-01,1468.8,Gross Domestic Product,2.5,"current $, billion"
G7 and partners,Canada,2008-01-01,1553,Gross Domestic Product,2.4,"current $, billion"
G7 and partners,Canada,2009-01-01,1374.6,Gross Domestic Product,2.3,"current $, billion"
G7 and partners,Canada,2010-01-01,1617.3,Gross Domestic Product,2.4,"current $, billion"
G7 and partners,Canada,2011-01-01,1793.3,Gross Domestic Product,2.4,"current $, billion"
G7 and partners,Canada,2012-01-01,1828.4,Gross Domestic Product,2.4,"current $, billion"
G7 and partners,Canada,2013-01-01,1846.6,Gross Domestic Product,2.4,"current $, billion"
G7 and partners,Canada,2014-01-01,1805.7,Gross Domestic Product,2.3,"current $, billion"
G7 and partners,Canada,2015-01-01,1556.5,Gross Domestic Product,2.1,"current $, billion"
G7 and partners,Canada,2016-01-01,1528,Gross Domestic Product,2,"current $, billion"
G7 and partners,Canada,2017-01-01,1649.3,Gross Domestic Product,2,"current $, billion"
G7 and partners,Canada,2018-01-01,1725.3,Gross Domestic Product,2,"current $, billion"
G7 and partners,Canada,2019-01-01,1743.7,Gross Domestic Product,2,"current $, billion"
G7 and partners,Canada,2020-01-01,1655.7,Gross Domestic Product,1.9,"current $, billion"
G7 and partners,Canada,2021-01-01,2007.5,Gross Domestic Product,2.1,"current $, billion"
G7 and partners,Canada,2022-01-01,2161.5,Gross Domestic Product,2.1,"current $, billion"
G7 and partners,Canada,2023-01-01,2140.1,Gross Domestic Product,2,"current $, billion"
Anti-Western axis,Iran,2014-01-01,1523,Ship production,0,tonnage
Anti-Western axis,Iran,2015-01-01,146,Ship production,0,tonnage
Anti-Western axis,Iran,2016-01-01,0,Ship production,0,tonnage
Anti-Western axis,Iran,2017-01-01,64121,Ship production,0.1,tonnage
Anti-Western axis,Iran,2018-01-01,0,Ship production,0,tonnage
Anti-Western axis,Iran,2019-01-01,665,Ship production,0,tonnage
Anti-Western axis,Iran,2020-01-01,0,Ship production,0,tonnage
Anti-Western axis,Iran,2021-01-01,1076,Ship production,0,tonnage
Anti-Western axis,Iran,2022-01-01,794,Ship production,0,tonnage
Anti-Western axis,Iran,2023-01-01,64760,Ship production,0.1,tonnage
Anti-Western axis,Russia,2014-01-01,44916,Ship production,0.1,tonnage
Anti-Western axis,Russia,2015-01-01,44546,Ship production,0.1,tonnage
Anti-Western axis,Russia,2016-01-01,58864,Ship production,0.1,tonnage
Anti-Western axis,Russia,2017-01-01,52686,Ship production,0.1,tonnage
Anti-Western axis,Russia,2018-01-01,82588,Ship production,0.1,tonnage
Anti-Western axis,Russia,2019-01-01,99662,Ship production,0.2,tonnage
Anti-Western axis,Russia,2020-01-01,241843,Ship production,0.4,tonnage
Anti-Western axis,Russia,2021-01-01,135694,Ship production,0.2,tonnage
Anti-Western axis,Russia,2022-01-01,251722,Ship production,0.5,tonnage
Anti-Western axis,Russia,2023-01-01,177571,Ship production,0.3,tonnage
Anti-Western axis,China,2014-01-01,22851302,Ship production,35.9,tonnage
Anti-Western axis,China,2015-01-01,25275424,Ship production,37.2,tonnage
Anti-Western axis,China,2016-01-01,22365449,Ship production,33.5,tonnage
Anti-Western axis,China,2017-01-01,23682160,Ship production,36,tonnage
Anti-Western axis,China,2018-01-01,23259789,Ship production,40.1,tonnage
Anti-Western axis,China,2019-01-01,23074209,Ship production,35,tonnage
Anti-Western axis,China,2020-01-01,23257200,Ship production,40.3,tonnage
Anti-Western axis,China,2021-01-01,26863204,Ship production,44.2,tonnage
Anti-Western axis,China,2022-01-01,25893611,Ship production,46.6,tonnage
Anti-Western axis,China,2023-01-01,32859862,Ship production,50.7,tonnage
Rest of world,Rest of world,2014-01-01,3217170,Ship production,5.1,tonnage
Rest of world,Rest of world,2015-01-01,3436864,Ship production,5.1,tonnage
Rest of world,Rest of world,2016-01-01,2305798,Ship production,3.5,tonnage
Rest of world,Rest of world,2017-01-01,3193895,Ship production,4.9,tonnage
Rest of world,Rest of world,2018-01-01,3222269,Ship production,5.6,tonnage
Rest of world,Rest of world,2019-01-01,2229833,Ship production,3.4,tonnage
Rest of world,Rest of world,2020-01-01,1528957,Ship production,2.6,tonnage
Rest of world,Rest of world,2021-01-01,1559288,Ship production,2.6,tonnage
Rest of world,Rest of world,2022-01-01,1382263,Ship production,2.5,tonnage
Rest of world,Rest of world,2023-01-01,1717933,Ship production,2.7,tonnage
G7 and partners,Australia,2014-01-01,2245,Ship production,0,tonnage
G7 and partners,Australia,2015-01-01,6488,Ship production,0,tonnage
G7 and partners,Australia,2016-01-01,1721,Ship production,0,tonnage
G7 and partners,Australia,2017-01-01,11032,Ship production,0,tonnage
G7 and partners,Australia,2018-01-01,329,Ship production,0,tonnage
G7 and partners,Australia,2019-01-01,31459,Ship production,0,tonnage
G7 and partners,Australia,2020-01-01,11497,Ship production,0,tonnage
G7 and partners,Australia,2021-01-01,18939,Ship production,0,tonnage
G7 and partners,Australia,2022-01-01,3718,Ship production,0,tonnage
G7 and partners,Australia,2023-01-01,4301,Ship production,0,tonnage
G7 and partners,South Korea,2014-01-01,21871925,Ship production,34.3,tonnage
G7 and partners,South Korea,2015-01-01,23756983,Ship production,35,tonnage
G7 and partners,South Korea,2016-01-01,25455551,Ship production,38.1,tonnage
G7 and partners,South Korea,2017-01-01,22616947,Ship production,34.4,tonnage
G7 and partners,South Korea,2018-01-01,14633292,Ship production,25.2,tonnage
G7 and partners,South Korea,2019-01-01,21670363,Ship production,32.9,tonnage
G7 and partners,South Korea,2020-01-01,18173891,Ship production,31.5,tonnage
G7 and partners,South Korea,2021-01-01,19687307,Ship production,32.4,tonnage
G7 and partners,South Korea,2022-01-01,16254013,Ship production,29.2,tonnage
G7 and partners,South Korea,2023-01-01,18317886,Ship production,28.3,tonnage
G7 and partners,Japan,2014-01-01,13392130,Ship production,21,tonnage
G7 and partners,Japan,2015-01-01,12899210,Ship production,19,tonnage
G7 and partners,Japan,2016-01-01,13363959,Ship production,20,tonnage
G7 and partners,Japan,2017-01-01,13113388,Ship production,20,tonnage
G7 and partners,Japan,2018-01-01,14440056,Ship production,24.9,tonnage
G7 and partners,Japan,2019-01-01,16241929,Ship production,24.6,tonnage
G7 and partners,Japan,2020-01-01,12827375,Ship production,22.2,tonnage
G7 and partners,Japan,2021-01-01,10726209,Ship production,17.6,tonnage
G7 and partners,Japan,2022-01-01,9585299,Ship production,17.2,tonnage
G7 and partners,Japan,2023-01-01,9965182,Ship production,15.4,tonnage
G7 and partners,United States,2014-01-01,212113,Ship production,0.3,tonnage
G7 and partners,United States,2015-01-01,355067,Ship production,0.5,tonnage
G7 and partners,United States,2016-01-01,351092,Ship production,0.5,tonnage
G7 and partners,United States,2017-01-01,225593,Ship production,0.3,tonnage
G7 and partners,United States,2018-01-01,201678,Ship production,0.3,tonnage
G7 and partners,United States,2019-01-01,131415,Ship production,0.2,tonnage
G7 and partners,United States,2020-01-01,71289,Ship production,0.1,tonnage
G7 and partners,United States,2021-01-01,32343,Ship production,0.1,tonnage
G7 and partners,United States,2022-01-01,72679,Ship production,0.1,tonnage
G7 and partners,United States,2023-01-01,64809,Ship production,0.1,tonnage
G7 and partners,United Kingdom,2014-01-01,523,Ship production,0,tonnage
G7 and partners,United Kingdom,2015-01-01,400,Ship production,0,tonnage
G7 and partners,United Kingdom,2016-01-01,1452,Ship production,0,tonnage
G7 and partners,United Kingdom,2017-01-01,0,Ship production,0,tonnage
G7 and partners,United Kingdom,2018-01-01,500,Ship production,0,tonnage
G7 and partners,United Kingdom,2019-01-01,2014,Ship production,0,tonnage
G7 and partners,United Kingdom,2020-01-01,711,Ship production,0,tonnage
G7 and partners,United Kingdom,2021-01-01,15609,Ship production,0,tonnage
G7 and partners,United Kingdom,2022-01-01,0,Ship production,0,tonnage
G7 and partners,United Kingdom,2023-01-01,0,Ship production,0,tonnage
G7 and partners,European Union,2014-01-01,1494180,Ship production,2.3,tonnage
G7 and partners,European Union,2015-01-01,1376907,Ship production,2,tonnage
G7 and partners,European Union,2016-01-01,2410815,Ship production,3.6,tonnage
G7 and partners,European Union,2017-01-01,2202113,Ship production,3.4,tonnage
G7 and partners,European Union,2018-01-01,1861502,Ship production,3.2,tonnage
G7 and partners,European Union,2019-01-01,2025119,Ship production,3.1,tonnage
G7 and partners,European Union,2020-01-01,1349513,Ship production,2.3,tonnage
G7 and partners,European Union,2021-01-01,1560008,Ship production,2.6,tonnage
G7 and partners,European Union,2022-01-01,2135083,Ship production,3.8,tonnage
G7 and partners,European Union,2023-01-01,1414907,Ship production,2.2,tonnage
G7 and partners,Taiwan,2014-01-01,574208,Ship production,0.9,tonnage
G7 and partners,Taiwan,2015-01-01,724867,Ship production,1.1,tonnage
G7 and partners,Taiwan,2016-01-01,468038,Ship production,0.7,tonnage
G7 and partners,Taiwan,2017-01-01,550502,Ship production,0.8,tonnage
G7 and partners,Taiwan,2018-01-01,343131,Ship production,0.6,tonnage
G7 and partners,Taiwan,2019-01-01,403904,Ship production,0.6,tonnage
G7 and partners,Taiwan,2020-01-01,302617,Ship production,0.5,tonnage
G7 and partners,Taiwan,2021-01-01,179971,Ship production,0.3,tonnage
G7 and partners,Taiwan,2022-01-01,496,Ship production,0,tonnage
G7 and partners,Taiwan,2023-01-01,187558,Ship production,0.3,tonnage
G7 and partners,Canada,2014-01-01,19312,Ship production,0,tonnage
G7 and partners,Canada,2015-01-01,938,Ship production,0,tonnage
G7 and partners,Canada,2016-01-01,480,Ship production,0,tonnage
G7 and partners,Canada,2017-01-01,148,Ship production,0,tonnage
G7 and partners,Canada,2018-01-01,5814,Ship production,0,tonnage
G7 and partners,Canada,2019-01-01,465,Ship production,0,tonnage
G7 and partners,Canada,2020-01-01,0,Ship production,0,tonnage
G7 and partners,Canada,2021-01-01,140,Ship production,0,tonnage
G7 and partners,Canada,2022-01-01,130,Ship production,0,tonnage
G7 and partners,Canada,2023-01-01,0,Ship production,0,tonnage
G7 and partners,Australia,1991-01-01,6,Steel production,0.8,"tonnes (crude processing), million"
G7 and partners,Australia,1992-01-01,7,Steel production,1,"tonnes (crude processing), million"
G7 and partners,Australia,1993-01-01,7.8,Steel production,1.1,"tonnes (crude processing), million"
G7 and partners,Australia,1994-01-01,8.5,Steel production,1.2,"tonnes (crude processing), million"
G7 and partners,Australia,1995-01-01,8.4,Steel production,1.1,"tonnes (crude processing), million"
G7 and partners,Australia,1996-01-01,8.4,Steel production,1.1,"tonnes (crude processing), million"
G7 and partners,Australia,1997-01-01,8.8,Steel production,1.1,"tonnes (crude processing), million"
G7 and partners,Australia,1998-01-01,8.9,Steel production,1.2,"tonnes (crude processing), million"
G7 and partners,Australia,1999-01-01,8.2,Steel production,1,"tonnes (crude processing), million"
G7 and partners,Australia,2000-01-01,7.3,Steel production,0.9,"tonnes (crude processing), million"
G7 and partners,Australia,2001-01-01,7.1,Steel production,0.8,"tonnes (crude processing), million"
G7 and partners,Australia,2002-01-01,8.9,Steel production,1,"tonnes (crude processing), million"
G7 and partners,Australia,2003-01-01,9.7,Steel production,1,"tonnes (crude processing), million"
G7 and partners,Australia,2004-01-01,8.1,Steel production,0.8,"tonnes (crude processing), million"
G7 and partners,Australia,2005-01-01,7.8,Steel production,0.7,"tonnes (crude processing), million"
G7 and partners,Australia,2006-01-01,7.9,Steel production,0.6,"tonnes (crude processing), million"
G7 and partners,Australia,2007-01-01,8.1,Steel production,0.6,"tonnes (crude processing), million"
G7 and partners,Australia,2008-01-01,7.7,Steel production,0.6,"tonnes (crude processing), million"
G7 and partners,Australia,2009-01-01,5.1,Steel production,0.4,"tonnes (crude processing), million"
G7 and partners,Australia,2010-01-01,7.4,Steel production,0.5,"tonnes (crude processing), million"
G7 and partners,Australia,2011-01-01,6.5,Steel production,0.4,"tonnes (crude processing), million"
G7 and partners,Australia,2012-01-01,4.9,Steel production,0.3,"tonnes (crude processing), million"
G7 and partners,Australia,2013-01-01,4.7,Steel production,0.3,"tonnes (crude processing), million"
G7 and partners,Australia,2014-01-01,4.6,Steel production,0.3,"tonnes (crude processing), million"
G7 and partners,Australia,2015-01-01,4.9,Steel production,0.3,"tonnes (crude processing), million"
G7 and partners,Australia,2016-01-01,5.2,Steel production,0.3,"tonnes (crude processing), million"
G7 and partners,Australia,2017-01-01,5.3,Steel production,0.3,"tonnes (crude processing), million"
G7 and partners,Australia,2018-01-01,5.8,Steel production,0.3,"tonnes (crude processing), million"
G7 and partners,Australia,2019-01-01,5.5,Steel production,0.3,"tonnes (crude processing), million"
G7 and partners,Australia,2020-01-01,5.5,Steel production,0.3,"tonnes (crude processing), million"
G7 and partners,Australia,2021-01-01,5.8,Steel production,0.3,"tonnes (crude processing), million"
G7 and partners,Australia,2022-01-01,5.7,Steel production,0.3,"tonnes (crude processing), million"
G7 and partners,Austria,1991-01-01,3.9,Steel production,0.5,"tonnes (crude processing), million"
G7 and partners,Austria,1992-01-01,3.6,Steel production,0.5,"tonnes (crude processing), million"
G7 and partners,Austria,1993-01-01,4.1,Steel production,0.6,"tonnes (crude processing), million"
G7 and partners,Austria,1994-01-01,4.4,Steel production,0.6,"tonnes (crude processing), million"
G7 and partners,Austria,1995-01-01,4.9,Steel production,0.7,"tonnes (crude processing), million"
G7 and partners,Austria,1996-01-01,4.4,Steel production,0.6,"tonnes (crude processing), million"
G7 and partners,Austria,1997-01-01,5.2,Steel production,0.7,"tonnes (crude processing), million"
G7 and partners,Austria,1998-01-01,5.3,Steel production,0.7,"tonnes (crude processing), million"
G7 and partners,Austria,1999-01-01,5.2,Steel production,0.7,"tonnes (crude processing), million"
G7 and partners,Austria,2000-01-01,5.7,Steel production,0.7,"tonnes (crude processing), million"
G7 and partners,Austria,2001-01-01,5.9,Steel production,0.7,"tonnes (crude processing), million"
G7 and partners,Austria,2002-01-01,6.2,Steel production,0.7,"tonnes (crude processing), million"
G7 and partners,Austria,2003-01-01,6.3,Steel production,0.6,"tonnes (crude processing), million"
G7 and partners,Austria,2004-01-01,6.5,Steel production,0.6,"tonnes (crude processing), million"
G7 and partners,Austria,2005-01-01,7,Steel production,0.6,"tonnes (crude processing), million"
G7 and partners,Austria,2006-01-01,7.1,Steel production,0.6,"tonnes (crude processing), million"
G7 and partners,Austria,2007-01-01,7.6,Steel production,0.6,"tonnes (crude processing), million"
G7 and partners,Austria,2008-01-01,7.6,Steel production,0.6,"tonnes (crude processing), million"
G7 and partners,Austria,2009-01-01,5.7,Steel production,0.5,"tonnes (crude processing), million"
G7 and partners,Austria,2010-01-01,7.2,Steel production,0.5,"tonnes (crude processing), million"
G7 and partners,Austria,2011-01-01,7.5,Steel production,0.5,"tonnes (crude processing), million"
G7 and partners,Austria,2012-01-01,7.4,Steel production,0.5,"tonnes (crude processing), million"
G7 and partners,Austria,2013-01-01,8,Steel production,0.5,"tonnes (crude processing), million"
G7 and partners,Austria,2014-01-01,7.9,Steel production,0.5,"tonnes (crude processing), million"
G7 and partners,Austria,2015-01-01,7.7,Steel production,0.5,"tonnes (crude processing), million"
G7 and partners,Austria,2016-01-01,7.4,Steel production,0.5,"tonnes (crude processing), million"
G7 and partners,Austria,2017-01-01,8.1,Steel production,0.5,"tonnes (crude processing), million"
G7 and partners,Austria,2018-01-01,6.9,Steel production,0.4,"tonnes (crude processing), million"
G7 and partners,Austria,2019-01-01,7.4,Steel production,0.4,"tonnes (crude processing), million"
G7 and partners,Austria,2020-01-01,6.8,Steel production,0.4,"tonnes (crude processing), million"
G7 and partners,Austria,2021-01-01,7.9,Steel production,0.4,"tonnes (crude processing), million"
G7 and partners,Austria,2022-01-01,7.5,Steel production,0.4,"tonnes (crude processing), million"
G7 and partners,Belgium,1991-01-01,11.3,Steel production,1.5,"tonnes (crude processing), million"
G7 and partners,Belgium,1992-01-01,10.3,Steel production,1.4,"tonnes (crude processing), million"
G7 and partners,Belgium,1993-01-01,10.1,Steel production,1.4,"tonnes (crude processing), million"
G7 and partners,Belgium,1994-01-01,11.3,Steel production,1.5,"tonnes (crude processing), million"
G7 and partners,Belgium,1995-01-01,11.5,Steel production,1.5,"tonnes (crude processing), million"
G7 and partners,Belgium,1996-01-01,10.8,Steel production,1.4,"tonnes (crude processing), million"
G7 and partners,Belgium,1997-01-01,10.7,Steel production,1.3,"tonnes (crude processing), million"
G7 and partners,Belgium,1998-01-01,11.4,Steel production,1.5,"tonnes (crude processing), million"
G7 and partners,Belgium,1999-01-01,10.9,Steel production,1.4,"tonnes (crude processing), million"
G7 and partners,Belgium,2000-01-01,11.6,Steel production,1.4,"tonnes (crude processing), million"
G7 and partners,Belgium,2001-01-01,10.7,Steel production,1.3,"tonnes (crude processing), million"
G7 and partners,Belgium,2002-01-01,11.3,Steel production,1.2,"tonnes (crude processing), million"
G7 and partners,Belgium,2003-01-01,11.1,Steel production,1.1,"tonnes (crude processing), million"
G7 and partners,Belgium,2004-01-01,11.7,Steel production,1.1,"tonnes (crude processing), million"
G7 and partners,Belgium,2005-01-01,10.4,Steel production,0.9,"tonnes (crude processing), million"
G7 and partners,Belgium,2006-01-01,11.6,Steel production,0.9,"tonnes (crude processing), million"
G7 and partners,Belgium,2007-01-01,10.7,Steel production,0.8,"tonnes (crude processing), million"
G7 and partners,Belgium,2008-01-01,10.7,Steel production,0.8,"tonnes (crude processing), million"
G7 and partners,Belgium,2009-01-01,5.6,Steel production,0.5,"tonnes (crude processing), million"
G7 and partners,Belgium,2010-01-01,8,Steel production,0.6,"tonnes (crude processing), million"
G7 and partners,Belgium,2011-01-01,8,Steel production,0.5,"tonnes (crude processing), million"
G7 and partners,Belgium,2012-01-01,7.3,Steel production,0.5,"tonnes (crude processing), million"
G7 and partners,Belgium,2013-01-01,7.1,Steel production,0.4,"tonnes (crude processing), million"
G7 and partners,Belgium,2014-01-01,7.3,Steel production,0.4,"tonnes (crude processing), million"
G7 and partners,Belgium,2015-01-01,7.3,Steel production,0.5,"tonnes (crude processing), million"
G7 and partners,Belgium,2016-01-01,7.7,Steel production,0.5,"tonnes (crude processing), million"
G7 and partners,Belgium,2017-01-01,7.8,Steel production,0.5,"tonnes (crude processing), million"
G7 and partners,Belgium,2018-01-01,8,Steel production,0.4,"tonnes (crude processing), million"
G7 and partners,Belgium,2019-01-01,7.8,Steel production,0.4,"tonnes (crude processing), million"
G7 and partners,Belgium,2020-01-01,6.1,Steel production,0.3,"tonnes (crude processing), million"
G7 and partners,Belgium,2021-01-01,6.9,Steel production,0.4,"tonnes (crude processing), million"
G7 and partners,Belgium,2022-01-01,7,Steel production,0.4,"tonnes (crude processing), million"
G7 and partners,Bulgaria,1991-01-01,1.6,Steel production,0.2,"tonnes (crude processing), million"
G7 and partners,Bulgaria,1992-01-01,1.6,Steel production,0.2,"tonnes (crude processing), million"
G7 and partners,Bulgaria,1993-01-01,1.9,Steel production,0.3,"tonnes (crude processing), million"
G7 and partners,Bulgaria,1994-01-01,2.5,Steel production,0.3,"tonnes (crude processing), million"
G7 and partners,Bulgaria,1995-01-01,2.7,Steel production,0.4,"tonnes (crude processing), million"
G7 and partners,Bulgaria,1996-01-01,2.5,Steel production,0.3,"tonnes (crude processing), million"
G7 and partners,Bulgaria,1997-01-01,2.6,Steel production,0.3,"tonnes (crude processing), million"
G7 and partners,Bulgaria,1998-01-01,2.2,Steel production,0.3,"tonnes (crude processing), million"
G7 and partners,Bulgaria,1999-01-01,1.9,Steel production,0.2,"tonnes (crude processing), million"
G7 and partners,Bulgaria,2000-01-01,2,Steel production,0.2,"tonnes (crude processing), million"
G7 and partners,Bulgaria,2001-01-01,2,Steel production,0.2,"tonnes (crude processing), million"
G7 and partners,Bulgaria,2002-01-01,1.9,Steel production,0.2,"tonnes (crude processing), million"
G7 and partners,Bulgaria,2003-01-01,2,Steel production,0.2,"tonnes (crude processing), million"
G7 and partners,Bulgaria,2004-01-01,2.1,Steel production,0.2,"tonnes (crude processing), million"
G7 and partners,Bulgaria,2005-01-01,2,Steel production,0.2,"tonnes (crude processing), million"
G7 and partners,Bulgaria,2006-01-01,2.1,Steel production,0.2,"tonnes (crude processing), million"
G7 and partners,Bulgaria,2007-01-01,1.9,Steel production,0.1,"tonnes (crude processing), million"
G7 and partners,Bulgaria,2008-01-01,1.3,Steel production,0.1,"tonnes (crude processing), million"
G7 and partners,Bulgaria,2009-01-01,0.7,Steel production,0.1,"tonnes (crude processing), million"
G7 and partners,Bulgaria,2010-01-01,0.7,Steel production,0.1,"tonnes (crude processing), million"
G7 and partners,Bulgaria,2011-01-01,0.8,Steel production,0.1,"tonnes (crude processing), million"
G7 and partners,Bulgaria,2012-01-01,0.6,Steel production,0,"tonnes (crude processing), million"
G7 and partners,Bulgaria,2013-01-01,0.5,Steel production,0,"tonnes (crude processing), million"
G7 and partners,Bulgaria,2014-01-01,0.6,Steel production,0,"tonnes (crude processing), million"
G7 and partners,Bulgaria,2015-01-01,0.5,Steel production,0,"tonnes (crude processing), million"
G7 and partners,Bulgaria,2016-01-01,0.5,Steel production,0,"tonnes (crude processing), million"
G7 and partners,Bulgaria,2017-01-01,0.7,Steel production,0,"tonnes (crude processing), million"
G7 and partners,Bulgaria,2018-01-01,0.7,Steel production,0,"tonnes (crude processing), million"
G7 and partners,Bulgaria,2019-01-01,0.6,Steel production,0,"tonnes (crude processing), million"
G7 and partners,Bulgaria,2020-01-01,0.5,Steel production,0,"tonnes (crude processing), million"
G7 and partners,Bulgaria,2021-01-01,0.5,Steel production,0,"tonnes (crude processing), million"
G7 and partners,Bulgaria,2022-01-01,0.5,Steel production,0,"tonnes (crude processing), million"
G7 and partners,Canada,1991-01-01,13,Steel production,1.8,"tonnes (crude processing), million"
G7 and partners,Canada,1992-01-01,13.9,Steel production,1.9,"tonnes (crude processing), million"
G7 and partners,Canada,1993-01-01,14.4,Steel production,2,"tonnes (crude processing), million"
G7 and partners,Canada,1994-01-01,13.9,Steel production,1.9,"tonnes (crude processing), million"
G7 and partners,Canada,1995-01-01,14,Steel production,1.9,"tonnes (crude processing), million"
G7 and partners,Canada,1996-01-01,14.6,Steel production,1.9,"tonnes (crude processing), million"
G7 and partners,Canada,1997-01-01,15.5,Steel production,1.9,"tonnes (crude processing), million"
G7 and partners,Canada,1998-01-01,15.8,Steel production,2.1,"tonnes (crude processing), million"
G7 and partners,Canada,1999-01-01,16.1,Steel production,2.1,"tonnes (crude processing), million"
G7 and partners,Canada,2000-01-01,16.5,Steel production,1.9,"tonnes (crude processing), million"
G7 and partners,Canada,2001-01-01,15.2,Steel production,1.8,"tonnes (crude processing), million"
G7 and partners,Canada,2002-01-01,15.9,Steel production,1.8,"tonnes (crude processing), million"
G7 and partners,Canada,2003-01-01,15.8,Steel production,1.6,"tonnes (crude processing), million"
G7 and partners,Canada,2004-01-01,16.4,Steel production,1.5,"tonnes (crude processing), million"
G7 and partners,Canada,2005-01-01,15.3,Steel production,1.3,"tonnes (crude processing), million"
G7 and partners,Canada,2006-01-01,15.5,Steel production,1.2,"tonnes (crude processing), million"
G7 and partners,Canada,2007-01-01,15.6,Steel production,1.2,"tonnes (crude processing), million"
G7 and partners,Canada,2008-01-01,14.8,Steel production,1.1,"tonnes (crude processing), million"
G7 and partners,Canada,2009-01-01,9.3,Steel production,0.8,"tonnes (crude processing), million"
G7 and partners,Canada,2010-01-01,13,Steel production,0.9,"tonnes (crude processing), million"
G7 and partners,Canada,2011-01-01,12.9,Steel production,0.8,"tonnes (crude processing), million"
G7 and partners,Canada,2012-01-01,13.5,Steel production,0.9,"tonnes (crude processing), million"
G7 and partners,Canada,2013-01-01,12.3,Steel production,0.8,"tonnes (crude processing), million"
G7 and partners,Canada,2014-01-01,12.6,Steel production,0.8,"tonnes (crude processing), million"
G7 and partners,Canada,2015-01-01,12.5,Steel production,0.8,"tonnes (crude processing), million"
